Generation N dN
159 921.35122010907389 -0.0021101360002184766
160 921.36316626740825 -0.002110135997831053
161 921.37437025897259 -0.0021101359958983767
162 921.38487202749263 -0.0021101359973763056
163 921.39470972024742 -0.0021101359939657005
164 921.40391975271234 -0.0021101359953299426
165 921.41253687138067 -0.0021101359957846899
166 921.42059421472345 -0.0021101359955573162
167 921.42812337241173 -0.0021101359940793873
168 921.4351544428323 -0.0021101359955573162
169 921.44171608895761 -0.0021101359956710031
170 921.44783559262862 -0.0021101359947615084
171 921.45353890723925 -0.002110135994306761
172 921.45885070897214 -0.0021101359928288321
173 921.46379444651143 -0.0021101359940793873
174 921.46839238935968 -0.0021101359955573162
175 921.4726656747423 -0.002110135994306761
176 921.47663435314598 -0.0021101359939657005
177 921.48031743254228 -0.0021101359932835795
178 921.48373292129622 -0.0021101359932835795
179 921.48689786983095 -0.0021101359921467111
180 921.4898284110169 -0.0021101359911235296
181 921.49253979936418 -0.0021101359920330243
182 921.49504644902368 -0.0021101359923740848
183 921.49736197060508 -0.0021101359918056506
184 921.49949920686299 -0.0021101359931698926
185 921.50147026725381 -0.00211013599362464
186 921.50328656138015 -0.0021101359972626188
187 921.50495883137751 -0.0021101359995363556
188 921.50649718320687 -0.0021101360001047897
189 921.50791111691785 -0.0021101360011279713
190 921.50920955588992 -0.0021101360028332738
191 921.51040087505919 -0.0021101360038564554
192 921.51149292816581 -0.0021101360015827186
193 921.51249307400974 -0.0021101360037427686
194 921.51340820178632 -0.0021101360045385764
195 921.51424475544741 -0.0021101360065849395
196 921.51500875719239 -0.0021101360063575658
197 921.51570583000682 -0.0021101360053343843
198 921.51634121936343 -0.0021101360031743344
199 921.51691981403678 -0.0021101360012416581
200 921.51744616606379 -0.0021101360041975159
