     Generation              N              E
            486        105.879    1.22045e+07
            487         105.89    1.21834e+07
            488          105.9    1.21624e+07
            489        105.911    1.21415e+07
            490        105.921    1.21206e+07
            491        105.932    1.20998e+07
            492        105.942    1.20791e+07
            493        105.953    1.20584e+07
            494        105.963    1.20378e+07
            495        105.973    1.20173e+07
            496        105.983    1.19968e+07
            497        105.994    1.19764e+07
            498        106.004    1.19561e+07
            499        106.014    1.19359e+07
