Generation N
191 462.03300677272983 -0.0020655998217407046
192 462.03351941485704 -0.0020655998227070427
193 462.03398862705501 -0.0020655998233891637
194 462.03441768964825 -0.00206559982316179
195 462.03480966899582 -0.0020655998237870676
196 462.03516742891543 -0.0020655998236733808
197 462.03549364164098 -0.0020655998226501993
198 462.03579079835418 -0.0020655998218543914
199 462.03606121929226 -0.0020655998210017401
200 462.03630706342852 -0.0020655998212291138
